iter	Passed	Remaining
433	1711	2232
434	1714	2226
435	1728	2235
436	1730	2229
437	1732	2222
438	1734	2216
439	1739	2214
440	1742	2208
441	1744	2202
442	1746	2196
443	1748	2189
444	1756	2190
445	1758	2184
446	1760	2177
447	1764	2174
448	1767	2169
449	1769	2162
450	1771	2156
451	1773	2150
452	1775	2144
453	1783	2144
454	1785	2139
455	1790	2136
456	1798	2137
457	1801	2131
458	1803	2125
459	1805	2119
460	1815	2122
461	1818	2118
462	1827	2119
463	1829	2113
464	1831	2107
465	1834	2101
466	1836	2095
467	1839	2090
468	1842	2085
469	1844	2079
470	1848	2075
471	1853	2073
472	1855	2067
473	1857	2061
474	1859	2055
475	1863	2051
476	1869	2049
477	1872	2044
478	1874	2039
479	1877	2034
480	1881	2030
481	1885	2026
482	1888	2021
483	1890	2015
484	1892	2009
485	1897	2007
486	1901	2002
487	1904	1998
488	1907	1993
489	1911	1989
490	1915	1985
491	1918	1980
492	1927	1982
493	1930	1977
494	1933	1972
495	1935	1966
496	1938	1961
497	1941	1956
498	1944	1951
499	1946	1946
500	1951	1943
501	1955	1939
502	1957	1934
503	1961	1930
504	1965	1926
505	1968	1921
506	1972	1918
507	1975	1913
508	1986	1916
509	1989	1911
510	1991	1905
511	1995	1901
512	1998	1896
513	2003	1894
514	2008	1891
515	2011	1886
516	2013	1881
517	2015	1875
518	2018	1870
519	2022	1866
520	2026	1863
521	2029	1858
522	2032	1853
523	2038	1851
524	2040	1845
525	2041	1840
526	2045	1836
527	2050	1832
528	2053	1828
529	2057	1824
530	2060	1820
531	2066	1818
532	2069	1812
533	2072	1808
534	2074	1803
535	2082	1803
536	2091	1803
537	2102	1805
538	2106	1801
539	2115	1802
540	2118	1797
541	2124	1795
542	2130	1792
543	2134	1789
544	2136	1784
545	2159	1795
546	2161	1790
547	2164	1785
548	2167	1780
549	2174	1779
550	2176	1773
551	2187	1775
552	2189	1769
553	2191	1764
554	2194	1759
555	2197	1755
556	2200	1749
557	2203	1745
558	2215	1748
559	2227	1749
560	2229	1744
561	2232	1740
562	2261	1755
563	2267	1753
564	2272	1749
565	2274	1744
566	2278	1739
567	2282	1735
568	2287	1732
569	2298	1733
570	2300	1728
571	2304	1724
572	2313	1724
573	2318	1720
574	2323	1717
575	2327	1713
576	2330	1708
577	2333	1703
578	2344	1704
579	2347	1699
580	2351	1695
581	2357	1693
582	2361	1689
583	2363	1683
584	2376	1686
585	2380	1681
586	2387	1680
587	2390	1675
588	2393	1669
589	2398	1666
590	2402	1662
591	2405	1657
592	2410	1654
593	2414	1650
594	2422	1649
595	2430	1647
596	2433	1642
597	2436	1638
598	2443	1635
599	2445	1630
600	2449	1625
601	2453	1621
602	2458	1618
603	2460	1613
604	2470	1612
605	2472	1607
606	2474	1601
607	2476	1596
608	2478	1591
609	2482	1587
610	2485	1582
611	2489	1578
612	2495	1575
613	2499	1571
614	2501	1566
615	2504	1561
616	2508	1556
617	2512	1553
618	2515	1548
619	2518	1543
620	2520	1538
621	2522	1533
622	2526	1528
623	2528	1523
624	2531	1518
625	2534	1513
626	2536	1508
627	2541	1505
628	2544	1500
629	2546	1495
630	2550	1491
631	2555	1487
632	2559	1483
633	2561	1478
634	2563	1473
635	2565	1468
636	2571	1465
637	2574	1460
638	2576	1455
639	2579	1450
640	2583	1446
641	2587	1442
642	2590	1438
643	2592	1433
644	2603	1432
645	2605	1427
646	2607	1422
647	2612	1419
648	2614	1413
649	2616	1408
650	2619	1404
651	2621	1399
652	2623	1394
653	2627	1390
654	2629	1385
655	2631	1380
656	2634	1375
657	2636	1370
658	2640	1366
659	2642	1361
660	2644	1356
661	2648	1352
662	2650	1347
663	2654	1343
664	2656	1338
665	2660	1334
666	2664	1330
667	2669	1326
668	2672	1322
669	2674	1317
670	2678	1313
671	2681	1308
672	2684	1304
673	2688	1300
674	2691	1295
675	2694	1291
676	2697	1286
677	2700	1282
678	2702	1277
679	2706	1273
680	2709	1269
681	2713	1265
682	2715	1260
683	2718	1255
684	2720	1250
685	2725	1247
686	2728	1243
687	2730	1238
688	2734	1234
689	2736	1229
690	2741	1225
691	2743	1221
692	2747	1217
693	2749	1212
694	2756	1209
695	2758	1204
696	2760	1200
697	2763	1195
698	2766	1191
699	2770	1187
700	2772	1182
701	2775	1178
702	2777	1173
703	2781	1169
704	2783	1164
705	2785	1160
706	2787	1155
707	2790	1150
708	2795	1147
709	2798	1143
710	2800	1138
711	2801	1133
712	2804	1128
713	2806	1124
714	2809	1119
715	2812	1115
716	2814	1110
717	2817	1106
718	2818	1101
719	2823	1097
720	2824	1093
721	2826	1088
722	2828	1083
723	2831	1079
724	2834	1075
725	2841	1072
726	2843	1067
727	2847	1063
728	2850	1059
729	2854	1055
730	2856	1051
731	2859	1047
732	2862	1042
733	2867	1039
734	2870	1034
735	2872	1030
736	2874	1025
737	2875	1020
738	2877	1016
739	2881	1012
740	2883	1007
741	2885	1003
742	2887	998
743	2889	994
744	2891	989
745	2895	986
746	2901	982
747	2902	978
748	2905	973
749	2907	969
750	2911	965
751	2913	960
752	2916	956
753	2918	952
754	2920	947
755	2924	943
756	2926	939
757	2928	935
758	2931	930
759	2933	926
760	2938	922
761	2940	918
762	2943	914
763	2945	909
764	2947	905
765	2949	900
766	2954	897
767	2957	893
768	2961	889
769	2963	885
770	2971	882
771	2974	878
772	2976	874
773	2978	869
774	2982	865
775	2985	861
776	2986	857
777	2989	852
778	2991	848
779	2993	844
780	2999	840
781	3001	836
782	3003	832
783	3006	828
784	3011	824
785	3013	820
786	3016	816
787	3019	812
788	3021	808
789	3027	804
790	3031	800
791	3034	796
792	3049	795
793	3052	791
794	3058	788
795	3061	784
796	3066	781
797	3073	777
798	3079	774
799	3084	771
800	3087	766
801	3089	762
802	3090	758
803	3093	754
804	3097	750
805	3100	746
806	3102	741
807	3103	737
808	3105	733
809	3107	728
810	3110	724
811	3113	720
812	3116	716
813	3128	714
814	3131	710
815	3133	706
816	3136	702
817	3140	698
818	3142	694
819	3144	690
820	3146	686
821	3148	681
822	3152	677
823	3154	673
824	3156	669
825	3158	665
826	3160	661
827	3162	656
828	3164	652
829	3167	648
830	3170	644
831	3173	640
832	3175	636
833	3177	632
834	3181	628
835	3182	624
836	3184	620
837	3185	615
838	3188	611
839	3190	607
840	3194	603
841	3197	600
842	3199	595
843	3201	591
844	3204	587
845	3206	583
846	3212	580
847	3214	576
848	3217	572
849	3219	568
850	3225	564
851	3228	560
852	3231	556
853	3233	552
854	3239	549
855	3243	545
856	3245	541
857	3247	537
858	3251	533
859	3254	529
860	3257	525
861	3259	521
862	3261	517
863	3267	514
864	3270	510
865	3272	506
866	3276	502
867	3278	498
868	3281	494
869	3283	490
870	3286	486
871	3289	482
872	3291	478
873	3296	475
874	3306	472
875	3310	468
876	3315	465
877	3318	461
878	3325	457
879	3328	453
880	3331	449
881	3333	445
882	3336	442
883	3338	438
884	3341	434
885	3344	430
886	3346	426
887	3348	422
888	3353	418
889	3356	414
890	3358	410
891	3360	406
892	3366	403
893	3369	399
894	3371	395
895	3374	391
896	3376	387
897	3381	384
898	3383	380
899	3393	377
900	3396	373
901	3400	369
902	3402	365
903	3404	361
904	3406	357
905	3410	353
906	3412	349
907	3415	346
908	3418	342
909	3426	338
910	3429	335
911	3435	331
912	3437	327
913	3439	323
914	3441	319
915	3444	315
916	3448	312
917	3451	308
918	3453	304
919	3455	300
920	3458	296
921	3464	293
922	3467	289
923	3475	285
924	3477	281
925	3481	278
926	3483	274
927	3488	270
928	3490	266
929	3492	262
930	3494	258
931	3496	255
932	3499	251
933	3505	247
934	3508	243
935	3510	240
936	3513	236
937	3517	232
938	3519	228
939	3521	224
940	3524	220
941	3526	217
942	3536	213
943	3539	209
944	3542	206
945	3546	202
946	3551	198
947	3555	195
948	3561	191
949	3563	187
950	3567	183
951	3568	179
952	3571	176
953	3578	172
954	3581	168
955	3584	164
956	3586	161
957	3591	157
