iter	Passed	Remaining
416	2464	3445
417	2479	3452
418	2483	3443
419	2497	3448
420	2503	3443
421	2506	3433
422	2509	3423
423	2513	3414
424	2518	3407
425	2521	3396
426	2524	3387
427	2527	3377
428	2534	3373
429	2540	3367
430	2543	3358
431	2552	3356
432	2555	3345
433	2557	3335
434	2564	3331
435	2567	3321
436	2571	3312
437	2580	3311
438	2583	3301
439	2586	3291
440	2592	3286
441	2595	3276
442	2599	3267
443	2602	3259
444	2607	3251
445	2610	3242
446	2613	3232
447	2616	3223
448	2621	3217
449	2624	3208
450	2628	3199
451	2634	3193
452	2637	3184
453	2640	3175
454	2644	3167
455	2652	3164
456	2656	3156
457	2661	3149
458	2666	3142
459	2670	3134
460	2673	3125
461	2680	3121
462	2683	3112
463	2688	3105
464	2695	3101
465	2700	3094
466	2703	3085
467	2709	3080
468	2713	3072
469	2718	3066
470	2724	3059
471	2728	3052
472	2733	3046
473	2741	3041
474	2745	3034
475	2748	3026
476	2754	3020
477	2758	3012
478	2761	3003
479	2764	2994
480	2769	2988
481	2773	2980
482	2776	2972
483	2779	2963
484	2783	2955
485	2789	2949
486	2791	2940
487	2799	2937
488	2804	2931
489	2808	2922
490	2814	2917
491	2818	2910
492	2823	2903
493	2829	2898
494	2833	2890
495	2836	2882
496	2839	2873
497	2842	2865
498	2845	2856
499	2848	2848
500	2851	2839
501	2858	2835
502	2862	2828
503	2866	2821
504	2876	2819
505	2882	2813
506	2888	2809
507	2892	2801
508	2897	2794
509	2903	2790
510	2906	2781
511	2910	2774
512	2914	2767
513	2918	2759
514	2920	2750
515	2925	2743
516	2931	2738
517	2935	2731
518	2939	2724
519	2942	2716
520	2948	2710
521	2950	2702
522	2954	2694
523	2957	2686
524	2961	2679
525	2964	2671
526	2971	2666
527	2976	2661
528	2979	2653
529	2983	2645
530	2985	2637
531	2996	2636
532	3001	2629
533	3012	2628
534	3016	2621
535	3019	2613
536	3026	2609
537	3030	2602
538	3034	2594
539	3039	2588
540	3043	2581
541	3046	2574
542	3052	2569
543	3055	2561
544	3058	2553
545	3061	2545
546	3064	2537
547	3072	2533
